n,p,T_serial,T_parallel,speedup,efficiency
10,1,100,100.0,1.0,1.0
10,2,100,51.0,1.9607843137254901,0.9803921568627451
10,4,100,27.0,3.7037037037037037,0.9259259259259259
10,8,100,15.5,6.451612903225806,0.8064516129032258
10,16,100,10.25,9.75609756097561,0.6097560975609756
10,32,100,8.125,12.307692307692308,0.38461538461538464
10,64,100,7.5625,13.223140495867769,0.2066115702479339
10,128,100,7.78125,12.85140562248996,0.10040160642570281
20,1,400,400.0,1.0,1.0
20,2,400,201.0,1.9900497512437811,0.9950248756218906
20,4,400,102.0,3.9215686274509802,0.9803921568627451
20,8,400,53.0,7.547169811320755,0.9433962264150944
20,16,400,29.0,13.793103448275861,0.8620689655172413
20,32,400,17.5,22.857142857142858,0.7142857142857143
20,64,400,12.25,32.6530612244898,0.5102040816326531
20,128,400,10.125,39.50617283950617,0.30864197530864196
40,1,1600,1600.0,1.0,1.0
40,2,1600,801.0,1.9975031210986267,0.9987515605493134
40,4,1600,402.0,3.9800995024875623,0.9950248756218906
40,8,1600,203.0,7.8817733990147785,0.9852216748768473
40,16,1600,104.0,15.384615384615385,0.9615384615384616
40,32,1600,55.0,29.09090909090909,0.9090909090909091
40,64,1600,31.0,51.61290322580645,0.8064516129032258
40,128,1600,19.5,82.05128205128206,0.6410256410256411
80,1,6400,6400.0,1.0,1.0
80,2,6400,3201.0,1.999375195251484,0.999687597625742
80,4,6400,1602.0,3.9950062421972534,0.9987515605493134
80,8,6400,803.0,7.970112079701121,0.9962640099626401
80,16,6400,404.0,15.841584158415841,0.9900990099009901
80,32,6400,205.0,31.21951219512195,0.975609756097561
80,64,6400,106.0,60.37735849056604,0.9433962264150944
80,128,6400,57.0,112.28070175438596,0.8771929824561403
160,1,25600,25600.0,1.0,1.0
160,2,25600,12801.0,1.9998437622060776,0.9999218811030388
160,4,25600,6402.0,3.998750390502968,0.999687597625742
160,8,25600,3203.0,7.992507024664377,0.9990633780830471
160,16,25600,1604.0,15.960099750623442,0.9975062344139651
160,32,25600,805.0,31.801242236024844,0.9937888198757764
160,64,25600,406.0,63.05418719211823,0.9852216748768473
160,128,25600,207.0,123.67149758454106,0.966183574879227
320,1,102400,102400.0,1.0,1.0
320,2,102400,51201.0,1.9999609382629246,0.9999804691314623
320,4,102400,25602.0,3.9996875244121552,0.9999218811030388
320,8,102400,12803.0,7.998125439350153,0.9997656799187691
320,16,102400,6404.0,15.99000624609619,0.9993753903810119
320,32,102400,3205.0,31.950078003120126,0.9984399375975039
320,64,102400,1606.0,63.760896637608965,0.9962640099626401
320,128,102400,807.0,126.88971499380422,0.9913258983890955
